date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:52	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%22e2d8-58c7fcddb7480-gzip%22	https://preview.colorlib.com/theme/clark/js/bootstrap.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:53	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:%221faf-58c7fcdf9f900-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery.easing.1.3.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery.easing.1.3.js	(from https://preview.colorlib.com/theme/clark/)
12:25:54	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:%222283-58c7fce187d80-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery.waypoints.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:55	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%223135-58c7fce187d80-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery.stellar.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:57	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:%22a8e5-58c7fce27bfc0-gzip%22	https://preview.colorlib.com/theme/clark/js/owl.carousel.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:58	1315736/1315736	---M--	200	added ('OK')	image/png	etag:%22141398-58c7fccaa4780%22	https://preview.colorlib.com/theme/clark/images/bg_1.png	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/bg_1.png	(from https://preview.colorlib.com/theme/clark/)
12:25:58	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-58c7fce093b40-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery.magnific-popup.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery.magnific-popup.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:59	14244/14244	---M-Z	200	added ('OK')	application/javascript	etag:%2237a4-58c7fcdcc3240-gzip%22	https://preview.colorlib.com/theme/clark/js/aos.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/aos.js	(from https://preview.colorlib.com/theme/clark/)
12:26:00	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:%2256f-58c7fcdf9f900-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery.animateNumber.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery.animateNumber.min.js	(from https://preview.colorlib.com/theme/clark/)
12:26:01	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:%221d17-58c7fce370200-gzip%22	https://preview.colorlib.com/theme/clark/js/scrollax.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/scrollax.min.js	(from https://preview.colorlib.com/theme/clark/)
